Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module
Fallbearbeitung im Öffentlichen Recht Gruppe 1,90PM5-1,Hausarbeit,Oliver Diggelmann,German,Case Studies in Public Law
Fallbearbeitung im Öffentlichen Recht Gruppe 2,90PM5-1,Hausarbeit,Johannes Reich,German,Case Studies in Public Law
Fallbearbeitung im Öffentlichen Recht Gruppe 3,90PM5-1,Hausarbeit,Giovanni Biaggini,German,Case Studies in Public Law
"(G29) Masterarbeitsgruppe ""Forschung in der kli. Bio- und Neuropsychologie""",200-901a,Exercise Group,Boris B. Quednow,"German, English",Master's Working Group 1
"(G31) Masterarbeitsgruppe ""Neuropsychologie sozialer Kognition""",200-901a,Exercise Group,Hennric Jokeit,"German, English",Master's Working Group 1
"(G33) Masterarbeitsgruppe ""Forschungsmethoden, Entwicklung und Diversität des Lernens""",200-901a,Exercise Group,Peter Klaver,"German, English",Master's Working Group 1
"(G36) Masterarbeitsgruppe ""Entwicklung des Gehirns""",200-901a,Exercise Group,Nora M. Raschle,"German, English",Master's Working Group 1
"(G37) Masterarbeitsgruppe ""Differentielle Psychologie und Diagnostik""",200-901a,Exercise Group,Wiebke Bleidorn,"German, English",Master's Working Group 1
"(G38) Masterarbeitsgruppe ""Persönlichkeitspsychologie""",200-901a,Exercise Group,Christopher Hopwood,"German, English",Master's Working Group 1
"(G39) Masterarbeitsgruppe ""Persönlichkeit und psychische Gesundheit im interkulturellen Kontext""",200-901a,Exercise Group,Amber Gayle Thalmayer,"German, English",Master's Working Group 1
"(G40) Masterarbeitsgruppe ""Current topics in cognitive and behavioral decision research""",200-901a,Exercise Group,Renato Frey,"German, English",Master's Working Group 1
"(G41) Masterarbeitsgruppe ""Evolutionary Neuroscience of Language""",200-901a,Exercise Group,Martin Meyer,"German, English",Master's Working Group 1
"(G42) Masterarbeitsgruppe""Neuropschologie und KognitiveNeurowissenschaft""",200-901a,Exercise Group,Larissa Behnke,German,Master's Working Group 1
"(G43) Masterarbeitsgruppe „Sozial- und Wirtschaftspsychologie""",200-901a,Exercise Group,Jörg Gross,"German, English",Master's Working Group 1
"(G44) Masterarbeitsgruppe „Angewandte Teamforschung""",200-901a,Exercise Group,Jan Schmutz-Henestrosa,"German, English",Master's Working Group 1
Thomas Reid,160l021a,Seminar,Nicole Dolby-Rathgeb,English,Thomas Reid
Einführung in Hegels Ästhetik,160l022a,Seminar,Christoph Halbig,German,An Introduction to Hegel's Aesthetics
Platon: Selbstsorge und Selbsterkenntnis,160l024a,Seminar,Sebastian Florian Weiner,German,Plato: self-knowledge and self-care
Privatautonomie im Schuldrecht - Grenzen der Vertragsfreiheit Gruppe 1,120PS-1,Proseminar,Rechtswissensch. Fakultät N.N.-Dozent,German,Proseminar
Privatautonomie im Schuldrecht - Grenzen der Vertragsfreiheit Gruppe 2,120PS-1,Proseminar,Rechtswissensch. Fakultät N.N.-Dozent,German,Proseminar
Privatautonomie im Schuldrecht - Grenzen der Vertragsfreiheit Gruppe 3,120PS-1,Proseminar,Rechtswissensch. Fakultät N.N.-Dozent,German,Proseminar
Privatautonomie im Schuldrecht - Grenzen der Vertragsfreiheit Gruppe 4,120PS-1,Proseminar,Rechtswissensch. Fakultät N.N.-Dozent,German,Proseminar
Seminar: Willem C. Vis International Commercial Arbitration Moot 2024/2025,90MC2-1,Seminar,Francesca Valentina Borio,German,Seminar: Willem C. Vis International Commercial Arbitration Moot
Seminar: John H. Jackson Moot Court Competition,90MC5-1,Seminar,Matthias Oesch,German,John H. Jackson Moot Court Competition
Schriftliche Arbeit griechische Linguistik,272l603a,Seminararbeit,N/A,"German, English",Written Paper Greek Linguistics
Grenzen des ethischen Universalismus,160l027a,Seminar,Anna Deplazes Zemp,German,The limits of ethical universalism
Die Metaphysik des Todes,160l035a,Seminar,Anne Meylan,German,The Metaphysics of Death
Publication Seminar,615G941a,Seminar,Silja Häusermann,"German, English",Publication Seminar
Doktorandenretraite,721G910a,Seminar,Annuska Derks,English,Doctoral Retreat
Doktorandenwerkstatt,721G911a,Seminar,Esther Leemann,English,Doctoral Workshop
"(G06) Forschungskolloquium ""Psychologische Methodenlehre, Evaluation und Statistik""",200-902a,Colloquium,Carolin Strobl,German,Research Colloquium 1
"(G09) Forschungskolloquium ""Allgemeine Psychologie: Motivation""",200-902a,Colloquium,Veronika Brandstätter-Morawietz,German,Research Colloquium 1
"(G25) Forschungskolloquium ""Neurolinguistik""",200-902a,Colloquium,Philosophische Fakultät N.N.-Dozent,German,Research Colloquium 1
"(G26)(G29) Forschungskolloquium ""Substanzstörungen""",200-902a,Colloquium,Boris B. Quednow,German,Research Colloquium 1
"(G30) Forschungskolloquium ""Sozialpsychologie""",200-902a,Colloquium,Michael Siegrist,German,Research Colloquium 1
"(G31) Forschungskolloquium ""Neuropsychologie sozialer Kognition""",200-902a,Colloquium,Hennric Jokeit,German,Research Colloquium 1
Fachüberblick Filmwissenschaft,255-501a,Selbststudium mit Leistungsnachweis,Fabienne Liptay,German,Film Studies Overview
Fachüberblick Filmwissenschaft,255-501a,Selbststudium mit Leistungsnachweis,Volker Pantenburg,German,Film Studies Overview
Fachüberblick Filmwissenschaft,255-501a,Selbststudium mit Leistungsnachweis,Josephine Diecke,German,Film Studies Overview
Fachüberblick Filmwissenschaft,255-501a,Selbststudium mit Leistungsnachweis,Daniel Johannes Wiegand,German,Film Studies Overview
Bachelorarbeit,255-BAa,Bachelor Paper,Fabienne Liptay,German,Bachelor's Thesis
Bachelorarbeit,255-BAa,Bachelor Paper,Volker Pantenburg,German,Bachelor's Thesis
Bachelorarbeit,255-BAa,Bachelor Paper,Josephine Diecke,German,Bachelor's Thesis
Bachelorarbeit,255-BAa,Bachelor Paper,Daniel Johannes Wiegand,German,Bachelor's Thesis
Die selbstkritische Schweiz: Neuere und ältere filmische Blicke,255l004a,Seminar,Marcy Goldberg,German,Die selbstkritische Schweiz: Neuere und ältere filmische Blicke
"(G33) Forschungskolloquium ""Forschungsmethoden, Entwicklung und Diversität des Lernens""",200-902a,Colloquium,Peter Klaver,German,Research Colloquium 1
Exkursion an die Internationalen Kurzfilmtage Winterthur,255l005a,Field Trip,Jan Sahli,German,Exkursion an die Internationalen Kurzfilmtage Winterthur
Praktikum extern,255l007a,Praktikum,Babylonia Constantinides Tank,German,Praktikum extern
Moralischer Realismus - aktuelle Beiträge,160l522a,Seminar,Christoph Halbig,German,Moral Realism
Thematische Arbeitsgruppe Gender Studies,245G203a,Sonstiges,Katrin Meyer,German,Working Group Gender Studies
Masterclass Ruha Benjamin,245G224a,Sonstiges,Katrin Meyer,English,Masterclass Ruha Benjamin
Normative Fähigkeiten,163l505a,Seminar,Philipp Reichling,German,Normative Powers
"(G36) Forschungskolloquium „Entwicklung des Gehirns""",200-902a,Colloquium,Nora M. Raschle,German,Research Colloquium 1
"(G39) Forschungskolloquium ""Persönlichkeit und psychische Gesundheit im interkulturellen Kontext""",200-902a,Colloquium,Amber Gayle Thalmayer,German,Research Colloquium 1
"(G41) Forschungskolloquium ""Evolutionary Neuroscience of Language""",200-902a,Colloquium,Martin Meyer,German,Research Colloquium 1
Einführung in die Arbeit mit ethnologischen Texten Übungsgruppe E,721-002e,Exercise Group,Désirée Gmür,German,Working with Anthropological Texts
Einführung in die Arbeit mit ethnologischen Texten Tutorat E,721-002e,Tutorat,Ann Forster,German,Working with Anthropological Texts
Bachelorarbeit,721-BAa,Bachelor Paper,N/A,German,Bachelor's Thesis
