Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module,Weekday,Daytime,Start Time,End Time
DE.S410.3 Linguistik 1,360x410a,PHZH SEK I Module,Simone Berchtold Schiestl,German,DE.S410 Linguistik 1,Friday,Morning,10,12
DE.S410.4 Linguistik 1,360x410a,PHZH SEK I Module,Vreni Markwardt,German,DE.S410 Linguistik 1,Friday,Morning,10,12
Bachelorprüfung Archäologien,682-015a,Selbststudium mit Leistungsnachweis,Philippe Della Casa,German,Bachelor's examination,N/A,N/A,N/A,N/A
Bachelorprüfung Archäologien,682-015a,Selbststudium mit Leistungsnachweis,Corinna Reinhardt,German,Bachelor's examination,N/A,N/A,N/A,N/A
Bachelorprüfung Archäologien,682-015a,Selbststudium mit Leistungsnachweis,Carola Jäggi,German,Bachelor's examination,N/A,N/A,N/A,N/A
"Exkursion: Toskana, Metallurgie",682l107a,Field Trip,Philippe Della Casa,"German, English","Excursion: Tuscany, Metallurgy",N/A,N/A,N/A,N/A
"Exkursion: Toskana, Metallurgie",682l107a,Seminar,Philippe Della Casa,"German, English","Excursion: Tuscany, Metallurgy",N/A,N/A,N/A,N/A
Philosophie des 19. und 20. Jahrhunderts (Vertiefung) (Glock),160-507a,Selbststudium mit Leistungsnachweis,Hans-Johann Glock,German,Philosophy of the 19th and 20th century (advanced),N/A,N/A,N/A,N/A
Philosophie des 19. und 20. Jahrhunderts (Vertiefung) (Saporiti),160-507a,Selbststudium mit Leistungsnachweis,Katia Saporiti,German,Philosophy of the 19th and 20th century (advanced),N/A,N/A,N/A,N/A
Philosophie des 19. und 20. Jahrhunderts (Vertiefung) (Baer),160-507a,Selbststudium mit Leistungsnachweis,Josette Baer Hill,German,Philosophy of the 19th and 20th century (advanced),N/A,N/A,N/A,N/A
Philosophie des 19. und 20. Jahrhunderts (Vertiefung) (Knowles),160-507a,Selbststudium mit Leistungsnachweis,Adam Knowles,German,Philosophy of the 19th and 20th century (advanced),N/A,N/A,N/A,N/A
Philosophie des 19. und 20. Jahrhunderts (Vertiefung) (Pfisterer),160-507a,Selbststudium mit Leistungsnachweis,Christoph Caspar Pfisterer,German,Philosophy of the 19th and 20th century (advanced),N/A,N/A,N/A,N/A
Philosophie des 19. und 20. Jahrhunderts (Vertiefung) (Halbig),160-507a,Selbststudium mit Leistungsnachweis,Christoph Halbig,German,Philosophy of the 19th and 20th century (advanced),N/A,N/A,N/A,N/A
Philosophie des 19. und 20. Jahrhunderts (Vertiefung) (Meylan),160-507a,Selbststudium mit Leistungsnachweis,Anne Meylan,German,Philosophy of the 19th and 20th century (advanced),N/A,N/A,N/A,N/A
Allgemeine Ethik (Vertiefung) (Halbig),160-508a,Selbststudium mit Leistungsnachweis,Christoph Halbig,German,Normative ethics (advanced),N/A,N/A,N/A,N/A
Allgemeine Ethik (Vertiefung) (Bieber),160-508a,Selbststudium mit Leistungsnachweis,Friedemann Rudolf Herbert Bieber,German,Normative ethics (advanced),N/A,N/A,N/A,N/A
Allgemeine Ethik (Vertiefung) (Koch),160-508a,Selbststudium mit Leistungsnachweis,Felix Koch,German,Normative ethics (advanced),N/A,N/A,N/A,N/A
Sus wolt der tac si scheiden:Poetiken mittelhochdeutscher Tagelieder,360l124a,Colloquium,N/A,German,Sus wolt der tac si scheiden: Poetiken mittelhochdeutscher Tagelieder,N/A,N/A,N/A,N/A
Allgemeine Ethik (Vertiefung) (Meylan),160-508a,Selbststudium mit Leistungsnachweis,Anne Meylan,German,Normative ethics (advanced),N/A,N/A,N/A,N/A
