Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module
Earth System Science Field Course: Val Piora,ESS244.1,Field Trip,Maria J. Santos,German,ESS 244 Earth System Science Field Course
"GGP.S460 Welt im Wandel, Vertiefung I Geographie, Gruppe B",GEO904.1,PHZH SEK I Module,Holger Rudolf Frey,German,"GGP.S460 A Changing World, Consolidation I in Geography"
GEO 511 Masterarbeit,GEO511.1,Student Work,Christian Berndt,German,GEO 511 Master Thesis
Dynamische Erde II,ESS121.1,Lecture with Practical Exercises,N/A,German,ESS 121 Dynamic Earth II (with Exercise)
Dynamische Erde II; Übungen Gruppe 1,ESS121.2,Exercise Group,N/A,German,ESS 121 Dynamic Earth II (with Exercise)
Dynamische Erde II; Übungen Gruppe 2,ESS121.2,Exercise Group,N/A,German,ESS 121 Dynamic Earth II (with Exercise)
Dynamische Erde II; Übungen Gruppe 3,ESS121.2,Exercise Group,N/A,German,ESS 121 Dynamic Earth II (with Exercise)
Geologie der Schweiz,ESS122.1,Course,N/A,German,ESS 122 Geology of Switzerland
Geologische Exkursionen,ESS123.1,Practical Training,N/A,German,ESS 123 Field Trips Within the Lecture Dynamic Earth
Geologischer Feldkurs I,ESS129.1,Block Course,N/A,German,ESS 129 Geological Field Course I
Sedimentologie und Stratigraphie,ESS241.1,Lecture with Practical Exercises,N/A,German,ESS 241 Sedimentology and Stratigraphie
Paläontologie,ESS361.1,Lecture with Practical Exercises,N/A,German,ESS 361 Palaeontology
Strukturgeologie,ESS362.1,Lecture with Practical Exercises,N/A,German,ESS 362 Structural Geology
Klimasysteme,ESS376.1,Lecture with Practical Exercises,N/A,German,ESS 376 Climate Systems
Limnogeology,ESS476.1,Lecture with Practical Exercises,N/A,German,ESS 476 Limnogeology
Masterarbeit,ESS511.1,Student Work,Christian Berndt,German,ESS 511 Master Thesis
Geography of Sustainability Transitions,GEO835.1,Seminar,Christian Binz,English,GEO 835 Geography of Sustainability Transitions
Python programming in remote sensing – basics,ESS341.1,Course,Alexander Damm-Reiser,English,ESS 341 Python programming in remote sensing – basics
"GGP.S480 Globale Herausforderungen, Vertiefung II, Geographie, Gruppe A",GEO906.1,PHZH SEK I Module,Itta Bauer,German,"GGP.S480 Global Challenges, Consolidation II in Geography"
