Program,Languages,Regulations,Organization,Responsible Instructor,Coordination,Part Of
Doctoral Program Drug Discovery,English,https://www.mnf.uzh.ch/en/studium/reglemente.html,Faculty of Science,Michael Arand,Olga von Niederhäusern,Joint Doctorate at the Faculty of Science of the UZH and the ETH Zurich
Doctoral Program Evolutionary Biology,English,https://www.mnf.uzh.ch/en/studium/reglemente.html,Faculty of Science,Kentaro Shimizu,Anton Weingrill,Joint Doctorate at the Faculty of Science of the UZH and the ETH Zurich
Doctoral Program Mathematics,English,,Faculty of Science,Benjamin Schlein,Jessica Bolsinger,Doctorate Faculty of Science
Major 90 Artificial Intelligence (Fast Track),English,https://www.oec.uzh.ch/en/studies/general/regulations.html,,,,Master of Science UZH in Informatics (PVO08)
Concentration General Geography,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Geographic Information Science and Systems,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Remote Sensing,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Human Geography,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Physical Geography,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Anthropology,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Animal Behaviour,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Cancer Biology,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Genetics and Development,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Immunology,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Microbiology,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Molecular and Cellular Biology,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Neurosciences,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Paleontology,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Plant Sciences,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Quantitative Biology and Systems Biology,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Virology,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Minor 30 Biochemistry,"German, English",,Faculty of Science,Raimund Dutzler,Cristina Manatschal,Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Earth System Science,"English, German",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger,Page 2 of 2; Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Major 150 Physics,"English, German",,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Bachelor of Science Faculty of Science (2021)
Minor 30 Neuroinformatics,"English, German",,Faculty of Science,Richard Hahnloser,Daniel Ch. Kiper,Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Major 120 Chemistry,"German, English",,Faculty of Science,Sandra Erika Luber,Sabine Stockhause,Bachelor of Science Faculty of Science (2021)
Teaching Subject Compulsory modules,,,,,,UZH Digital Society Initiative Excellence Program
Teaching Subject DSI Core elective modules,,,,,,UZH Digital Society Initiative Excellence Program
Teaching Subject Other Core elective modules,,,,,,UZH Digital Society Initiative Excellence Program
Minor 30 Biochemistry,"English, German",,Faculty of Science,Raimund Dutzler,Cristina Manatschal,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Chemistry,"German, English",,Faculty of Science,Sandra Erika Luber,Sabine Stockhause,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Earth System Science,"English, German",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Geography,"English, German",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 30 Mathematics,"English, German",,Faculty of Science,Reinhard Furrer,Maja Bettina Schärer,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Physics,"German, English",,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Neuroinformatics,"German, English",,Faculty of Science,Richard Hahnloser,Daniel Ch. Kiper,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Bioinformatics,English,,Faculty of Science,Andreas Wagner,,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Data Science,English,,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Master of Science UZH in Informatics (PVO08); Master of Science UZH in Informatics (RVO22); Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Information Systems,English,,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Master of Science UZH in Informatics (PVO08); Master of Science UZH in Informatics (RVO22); Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Economics,English,,"Faculty of Business, Economics and Informatics",Ulrich Woitek,Sonja Verel,Master of Science UZH in Informatics (PVO08); Master of Science UZH in Informatics (RVO22); Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Business Administration,"English, German",,"Faculty of Business, Economics and Informatics",Egon-Peter Franck,Oliver Merz,Master of Science UZH in Informatics (PVO08); Master of Science UZH in Informatics (RVO22)
Minor 30 Banking and Finance,English,,"Faculty of Business, Economics and Informatics",Per Östberg,Benjamin Wilding,Master of Science UZH in Informatics (PVO08); Master of Science UZH in Informatics (RVO22); Master of Arts UZH in Business and Economics (RVO22)
Major 90 Economics,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Ulrich Woitek,Sonja Verel,Master of Arts UZH in Business and Economics (RVO22)
Major 90 Business Administration,"German, English",https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Egon-Peter Franck,Jasmin De Clercq,Master of Arts UZH in Business and Economics (RVO22)
Major 90 Banking and Finance,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Per Östberg,Benjamin Wilding,Master of Arts UZH in Business and Economics (RVO22)
Minor 60 Environmental Studies,"German, English",,Faculty of Science,Hanna Kokko,Claudia Hegglin Braun,Bachelor of Science Faculty of Science (2021)
Minor 30 Environmental Studies,"German, English",,Faculty of Science,Hanna Kokko,Claudia Hegglin Braun,Bachelor of Science Faculty of Science (2021)
Minor 30 Environmental Studies,"German, English",,Faculty of Science,Hanna Kokko,Claudia Hegglin Braun,Master of Science Faculty of Science (120) (2021)
Minor 30 Environmental Studies,"German, English",,Faculty of Science,Hanna Kokko,Claudia Hegglin Braun,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Major 90 Management and Economics,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Ursula Backes-Gellner,Sara Brunner,Master of Arts UZH in Business and Economics (RVO22)
Minor 60 Environmental Studies,"English, German",,Faculty of Science,Hanna Kokko,Claudia Hegglin Braun,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts (RVO19)
Minor 30 Behavioral Economics,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Michel Maréchal,Sonja Verel,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Development and Economic Policy,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Ulrich Woitek,Sonja Verel,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Business Administration,German,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Egon-Peter Franck,Jasmin De Clercq,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Accounting and Finance,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Dieter Pfaff,Dieter Pfaff,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Managing Education,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Ursula Backes-Gellner,Sara Brunner,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Sports Management,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Helmut Max Dietl,Anil Özdemir,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Marketing,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",René Algesheimer,Katherine Tiffany Keely Rother,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Banking,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Per Östberg,Benjamin Wilding,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Corporate Finance,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Per Östberg,Benjamin Wilding,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Financial Economics,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Per Östberg,Benjamin Wilding,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Quantitative Finance,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Per Östberg,Benjamin Wilding,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Sustainable Finance,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Per Östberg,Benjamin Wilding,Master of Arts UZH in Business and Economics (RVO22)
Single Major 120 Religion and Culture in Contemporary Societies,,https://www.trf.uzh.ch/studierende/modulkataloge_ma.html,Faculty of Theology and the Study of Religion,Rafael Walthert,,Master of Arts UZH in Religion and Culture in Contemporary Societies Bologna 2020
Single Major 120 Christianity in Society,,https://www.trf.uzh.ch/studierende/modulkataloge_ma.html,Faculty of Theology and the Study of Religion,Ralph Kunz,,Master of Arts in Christianity in Society Bologna 2020
Single Major 180 Biology,"English, German",,Faculty of Science,Konrad Basler,Karin Isler,Bachelor of Science Faculty of Science (2021)
Minor 30 Applied Probability and Statistics,"German, English",,,,,Page 2 of 2; Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Astronomy and Astrobiology,"English, German",,Faculty of Science,Benjamin Moore,,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Crystallography,"German, English",,Faculty of Science,Bernhard Spingler,Sabine Stockhause,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Single Major 180 Chemistry,"German, English",,Faculty of Science,Sandra Erika Luber,Sabine Stockhause,Bachelor of Science Faculty of Science (2021)
Single Major 180 Earth System Science,"German, English",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger,Bachelor of Science Faculty of Science (2021)
Single Major 180 Geography,"German, English",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger,Bachelor of Science Faculty of Science (2021)
Single Major 180 Mathematics,"English, German",,Faculty of Science,Reinhard Furrer,Maja Bettina Schärer,Bachelor of Science Faculty of Science (2021)
Single Major 180 Physics,"German, English",,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Bachelor of Science Faculty of Science (2021)
Single Major 180 Chemistry and Business Studies,"English, German",,Faculty of Science,Stefan Seeger,Sabine Stockhause,Bachelor of Science Faculty of Science (2021)
Minor 60 Computational Linguistics and Language Technology,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Computational Linguistics,Rico Sennrich,Jeannette Roth,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 60 French Literature and Linguistics,French,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19)
Doctoral Program Chemical and Molecular Sciences,English,,Faculty of Science,Felix Hubertus Zelder,Sabine Stockhause,Doctorate Faculty of Science
Concentration Chemical Track,"English, German",,Faculty of Science,,,Bachelor of Science Faculty of Science (2021)
Doctoral Program Biomolecular Structure and Mechanism,English,,Faculty of Science,Martin Jinek,Judita Tillova,Doctorate Faculty of Science
Doctoral Program Cancer Biology,English,,Faculty of Science,Maries van den Broek,Bettina Rausch-Malina,Doctorate Faculty of Science
Doctoral Program Ecology,English,,Faculty of Science,Jordi Bascompte,Debra Zuppinger-Dingley,Doctorate Faculty of Science
Doctoral Program Evolutionary Biology,English,,Faculty of Science,Kentaro Shimizu,Anton Weingrill,Doctorate Faculty of Science
Doctoral Program Microbiology and Immunology,English,,Faculty of Science,Leo Eberl,Judith Zingg,Doctorate Faculty of Science
Doctoral Program Molecular Life Sciences,English,,Faculty of Science,Ohad Medalia,Susanna Bachmann,Doctorate Faculty of Science
Major 120 Biology,"English, German",,Faculty of Science,Konrad Basler,Karin Isler,Bachelor of Science Faculty of Science (2021)
Minor 60 German Literature and Linguistics,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of German and Scandinavian Studies,Sabine Schneider,Charlotte Schweri Litscher,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020
Minor 60 Scandinavian Studies,"Danish, Swedish, Norwegian",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of German and Scandinavian Studies,Sabine Schneider,Charlotte Schweri Litscher,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19)
Minor 60 Comparative Germanic Linguistics,German,http://www.phil.uzh.ch/studium/rechtsgrundlagen.html,Department of German and Scandinavian Studies,Sabine Schneider,Charlotte Schweri Litscher,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020
Doctoral Program Neuroscience,English,,Faculty of Science,Wolfgang Knecht,Heidi Gauss,Doctorate Faculty of Science
Doctoral Program Science and Policy,English,,Faculty of Science,Ueli Grossniklaus,Luisa Maria Sophie Last,Doctorate Faculty of Science
Doctoral Program Plant Sciences,English,,Faculty of Science,Samuel C. Zeeman,Melanie Paschke,Doctorate Faculty of Science
Doctoral Program Systems Biology,English,,Faculty of Science,Joerg Stelling,Andrea Huber Brösamie,Doctorate Faculty of Science
Doctoral Program Geography &amp; Earth System Science,"German, English",,Faculty of Science,Hanna Hilbrandt,Isabelle Gärtner,Doctorate Faculty of Science
Minor 60 English Literature and Linguistics,English,https://www.phil.uzh.ch/de/studium/dokumente.html,English Department,Barbara Straumann,Martin Mühlheim,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Concentration Genetics and Development,,,Faculty of Science,,,Master of Science Faculty of Science (90) (2021)
Concentration Immunology,,,Faculty of Science,,,Master of Science Faculty of Science (90) (2021)
Concentration Microbiology,,,Faculty of Science,,,Master of Science Faculty of Science (90) (2021)
Doctoral Program Banking and Finance,English,,"Faculty of Business, Economics and Informatics",Steven Ongena,Sarah Elisabeth Wikus,"Doctorate Business and Economics (A, PVO13)"
Doctoral Program Banking and Finance,English,,"Faculty of Business, Economics and Informatics",Steven Ongena,Sarah Elisabeth Wikus,"Doctorate Business and Economics (C, PVO13)"
Doctoral Program Management and Economics,English,,"Faculty of Business, Economics and Informatics",Ulrich Kaiser,Falko Zapf,"Doctorate Business and Economics (C, PVO13)"
Doctoral Program Business Administration,English,,"Faculty of Business, Economics and Informatics",Robert F. Göx,Falko Zapf,"Doctorate Business and Economics (C, PVO13)"
Doctoral Program Economics,English,,"Faculty of Business, Economics and Informatics",Roberto A. Weber,Mirjam Britschgi,"Doctorate Business and Economics (C, PVO13)"
Doctoral Program Economics,English,,"Faculty of Business, Economics and Informatics",Roberto A. Weber,Mirjam Britschgi,"Doctorate Business and Economics (B, PVO13)"
Doctoral Program Management and Economics,English,,"Faculty of Business, Economics and Informatics",Ulrich Kaiser,Falko Zapf,"Doctorate Business and Economics (B, PVO13)"
Doctoral Program Business Administration,English,,"Faculty of Business, Economics and Informatics",Robert F. Göx,Falko Zapf,"Doctorate Business and Economics (B, PVO13)"
Doctoral Program Banking and Finance,English,,"Faculty of Business, Economics and Informatics",Steven Ongena,Sarah Elisabeth Wikus,"Doctorate Business and Economics (B, PVO13)"
Doctoral Program Management and Economics,English,,"Faculty of Business, Economics and Informatics",Ulrich Kaiser,Falko Zapf,"Doctorate Business and Economics (A, PVO13)"
Doctoral Program Business Administration,English,,"Faculty of Business, Economics and Informatics",Robert F. Göx,Falko Zapf,"Doctorate Business and Economics (A, PVO13)"
Doctoral Program Economics,English,,"Faculty of Business, Economics and Informatics",Roberto A. Weber,Mirjam Britschgi,"Doctorate Business and Economics (A, PVO13)"
Doctoral Program Physics,English,,Faculty of Science,Gino Isidori,Denise Verena Caneve,Doctorate Faculty of Science
Doctoral Program Epidemiology and Biostatistics,English,,Faculty of Science,Milo Alan Puhan,Marco Kaufmann,Doctorate Faculty of Science
Minor 60 General and Comparative Literature,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Ayse Zeynep Pamuk,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19)
Major 150 Biology,"English, German",,Faculty of Science,Konrad Basler,Karin Isler,Bachelor of Science Faculty of Science (2021)
Major 150 Chemistry,"German, English",,Faculty of Science,Sandra Erika Luber,Sabine Stockhause,Bachelor of Science Faculty of Science (2021)
Major 150 Geography,"German, English",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger,Bachelor of Science Faculty of Science (2021)
Concentration Plant Sciences,,,Faculty of Science,,,Master of Science Faculty of Science (90) (2021)
Concentration Quantitative Biology and Systems Biology,,,Faculty of Science,,,Master of Science Faculty of Science (90) (2021)
Doctoral Program Biomedical Ethics and Law,German,http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,Brigitte Tag,,Doctorate Faculty of Law (PVO09)
Doctoral Program Law,German,http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,Felix Bommer,,Doctorate Faculty of Law (PVO09)
Concentration Virology,,,Faculty of Science,,,Master of Science Faculty of Science (90) (2021)
Concentration Molecular and Cellular Biology,,,Faculty of Science,,,Master of Science Faculty of Science (90) (2021)
Concentration Neurosciences,,,Faculty of Science,,,Master of Science Faculty of Science (90) (2021)
Concentration Paleontology,,,Faculty of Science,,,Master of Science Faculty of Science (90) (2021)
Concentration General Geography,,,Faculty of Science,,,Master of Science Faculty of Science (90) (2021)
Concentration Geographic Information Science and Systems,,,Faculty of Science,,,Master of Science Faculty of Science (90) (2021)
Concentration Remote Sensing,,,Faculty of Science,,,Master of Science Faculty of Science (90) (2021)
Concentration Human Geography,,,Faculty of Science,,,Master of Science Faculty of Science (90) (2021)
Concentration Physical Geography,,,Faculty of Science,,,Master of Science Faculty of Science (90) (2021)
Major 150 Mathematics,"English, German",,Faculty of Science,Reinhard Furrer,Maja Bettina Schärer,Bachelor of Science Faculty of Science (2021)
Minor 30 Biochemistry,"English, German",,Faculty of Science,Raimund Dutzler,Cristina Manatschal,Master of Science Faculty of Science (120) (2021)
Minor 30 Biology,"German, English",,Faculty of Science,Konrad Basler,Karin Isler,Master of Science Faculty of Science (120) (2021)
Minor 30 Chemistry,"German, English",,Faculty of Science,Sandra Erika Luber,Sabine Stockhause,Page 2 of 2; Master of Science Faculty of Science (120) (2021)
Minor 30 Earth System Science,"German, English",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger,Master of Science Faculty of Science (120) (2021)
Minor 30 Geography,"English, German",,Faculty of Science,Norman Backhaus,Philippe Meuret,Master of Science Faculty of Science (120) (2021)
Minor 30 Mathematics,"German, English",,Faculty of Science,Reinhard Furrer,Maja Bettina Schärer,Master of Science Faculty of Science (120) (2021)
Minor 30 Physics,English,,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Master of Science Faculty of Science (120) (2021)
Minor 30 Bioinformatics,English,,Faculty of Science,Andreas Wagner,,Master of Science Faculty of Science (120) (2021)
Minor 30 Neuroinformatics,"English, German",,Faculty of Science,Richard Hahnloser,Daniel Ch. Kiper,Master of Science Faculty of Science (120) (2021)
Minor 30 Applied Probability and Statistics,"English, German",,Faculty of Science,Reinhard Furrer,,Master of Science Faculty of Science (120) (2021)
Minor 30 Astronomy and Astrobiology,"German, English",,Faculty of Science,Benjamin Moore,,Master of Science Faculty of Science (120) (2021)
Minor 30 Crystallography,"German, English",,Faculty of Science,Bernhard Spingler,Sabine Stockhause,Master of Science Faculty of Science (120) (2021)
Major 120 Geography,"German, English",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger,Bachelor of Science Faculty of Science (2021)
Major 120 Mathematics,"German, English",,Faculty of Science,Reinhard Furrer,Maja Bettina Schärer,Bachelor of Science Faculty of Science (2021)
Major 120 Physics,"German, English",,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Bachelor of Science Faculty of Science (2021)
Minor 60 Biochemistry,"German, English",,Faculty of Science,Raimund Dutzler,Cristina Manatschal,Bachelor of Science Faculty of Science (2021)
Minor 60 Biology,"English, German",,Faculty of Science,Konrad Basler,Karin Isler,Bachelor of Science Faculty of Science (2021)
Minor 60 Biomedicine,"German, English",,Faculty of Science,Lubor Borsig,Sabine Jacob Sempach,Bachelor of Science Faculty of Science (2021)
Minor 60 Chemistry,"English, German",,Faculty of Science,Sandra Erika Luber,Sabine Stockhause,Bachelor of Science Faculty of Science (2021)
Minor 60 Earth System Science,"English, German",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger,Page 2 of 2; Bachelor of Science Faculty of Science (2021)
Minor 60 Geography,"German, English",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger,Bachelor of Science Faculty of Science (2021)
Minor 60 Mathematics,"German, English",,Faculty of Science,Reinhard Furrer,Maja Bettina Schärer,Bachelor of Science Faculty of Science (2021)
Minor 60 Physics,"German, English",,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Bachelor of Science Faculty of Science (2021)
Minor 60 Astrophysics,"English, German",,Faculty of Science,Ravit Helled,,Bachelor of Science Faculty of Science (2021)
Minor 60 Applied Probability and Statistics,"German, English",,,,,Bachelor of Science Faculty of Science (2021)
Minor 60 Computational Science,"German, English",,Faculty of Science,Joachim Gerhard Stadel,,Bachelor of Science Faculty of Science (2021)
Minor 30 Biochemistry,"English, German",,Faculty of Science,Raimund Dutzler,Cristina Manatschal,Bachelor of Science Faculty of Science (2021)
Minor 30 Biology,"English, German",,Faculty of Science,Konrad Basler,Karin Isler,Bachelor of Science Faculty of Science (2021)
Minor 30 Biomedicine,"German, English",,Faculty of Science,Lubor Borsig,Sabine Jacob Sempach,Bachelor of Science Faculty of Science (2021)
Minor 30 Bioinformatics,English,,Faculty of Science,Andreas Wagner,,Bachelor of Science Faculty of Science (2021)
Minor 30 Chemistry,"English, German",,Faculty of Science,Sandra Erika Luber,Sabine Stockhause,Bachelor of Science Faculty of Science (2021)
Minor 30 Earth System Science,"English, German",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger,Bachelor of Science Faculty of Science (2021)
Minor 30 Geography,"English, German",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger,Bachelor of Science Faculty of Science (2021)
Minor 30 Mathematics,"English, German",,Faculty of Science,Reinhard Furrer,Maja Bettina Schärer,Bachelor of Science Faculty of Science (2021)
Minor 30 Physics,"English, German",,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Bachelor of Science Faculty of Science (2021)
Minor 30 Applied Probability and Statistics,"English, German",,,,,Bachelor of Science Faculty of Science (2021)
Minor 30 Astrophysics,"English, German",,Faculty of Science,Ravit Helled,,Bachelor of Science Faculty of Science (2021)
Minor 30 Neuroinformatics,"German, English",,Faculty of Science,Richard Hahnloser,Daniel Ch. Kiper,Bachelor of Science Faculty of Science (2021)
Minor 30 Astronomy and Astrobiology,"English, German",,Faculty of Science,Benjamin Moore,,Bachelor of Science Faculty of Science (2021)
Minor 30 Crystallography,"English, German",,Faculty of Science,Bernhard Spingler,Sabine Stockhause,Bachelor of Science Faculty of Science (2021)
Minor 60 Applied Probability and Statistics,"German, English",,,,,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
