Program,Languages,Regulations,Organization,Responsible Instructor,Coordination,Part Of
Individual Doctorate Philosophy,"German, English",,Department of Philosophy,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate General and Comparative Literature,German,,Department of Romance Studies,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Psychology,English,,Department of Psychology,,,Doctorate Faculty of Arts and Social Sciences
Minor 60 Communication Science and Media Research,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Communication and Media Research,Mark Eisenegger,Stefanie Andrea Hangartner,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 60 Interdisciplinary Archaeological Sciences,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Archaeology,Corinna Simone Reinhardt,Katharina Irene Bursztyn,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Individual Doctorate Teaching,"German, English",,Institute of Education,,,Doctorate Faculty of Arts and Social Sciences
Minor 60 Archaeologies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Archaeology,Corinna Simone Reinhardt,Katharina Irene Bursztyn,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 60 Ancient Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Andreas Victor Walser,Fabian Zogg,Bachelor of Science Faculty of Science (2021)
Individual Doctorate Educational Science,"German, English",,Institute of Education,,,Doctorate Faculty of Arts and Social Sciences
Minor 60 Popular Culture Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Social Anthropology and Cultural Studies,Bernhard Tschofen,Mischa Elias Gallati Zimmermann,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020
Minor 60 Political Science,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Political Science,Marco Steenbergen,Hanno Degner,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Individual Doctorate Sociology,German,,Department of Sociology,,,Doctorate Faculty of Arts and Social Sciences
Minor 60 Social Anthropology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Social Anthropology and Cultural Studies,Ann Elisabeth Derks,Jan Patrick Heiss,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19)
Minor 60 Sociology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Sociology,Jörg Rössel,Bettina Isengard,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Individual Doctorate Communication and Media Research,German,,Department of Communication and Media Research,,,Doctorate Faculty of Arts and Social Sciences
Minor 60 Comparative Linguistics,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Comparative Language Science,Paul Widmer,Lena Dorothea Elisabeth Zipp,Bachelor of Science Faculty of Science (2021)
Minor 60 Ibero-Romance Literatures and Linguistics,"Spanish, Portuguese",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Page 2 of 2; Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 30 Italian Literature/Linguistics,Italian,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Romansh Literature/Linguistics,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 German Literature: Theory – Analysis – Transfer,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of German and Scandinavian Studies,Sabine Schneider,Charlotte Schweri Litscher,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Computational Linguistics and Language Technology,English,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Computational Linguistics,Rico Sennrich,Jeannette Roth,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Science UZH in Informatics (RVO22); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Greek Philology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Carmen Cardelle,Fabian Zogg,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19)
Minor 30 Latin Philology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Carmen Cardelle,Fabian Zogg,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19)
Minor 30 Medieval Latin Philology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Carmen Cardelle,Fabian Zogg,Master of Arts in Ancient Judaism (JDP)
Minor 30 Medieval Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Zentrum Zürcher Mediävistik,Inga Mai Groote,Maximilian Helmut Gamer,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020
Minor 30 Sociology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Sociology,Jörg Rössel,Bettina Isengard,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Martin Dusinberre,Marietta Meier,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020
