Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module,Weekday,Daytime,Start Time,End Time
"Tutorat, Gruppe D",255-001a,Tutorial,Jan Sahli,German,Introduction to the Methods in Film Studies,Wednesday,Afternoon,14,15
"Populäre Literaturen und Medien: Geschichte, Theorien, Felder",506-022a,Course,Christine Suzanne Lötscher,German,"Popular Literature and Media: History, Theories, Fields",Thursday,Afternoon,12,13
"Qualitative Methoden, Gr. 1",506-023a,Seminar,Malte Völk,German,Qualitative Analysis and Interpretation,Thursday,Morning,10,12
"Qualitative Methoden, Gr. 2",506-023a,Seminar,Sabine Eggmann,German,Qualitative Analysis and Interpretation,Thursday,Morning,10,12
"Qualitative Methoden, Gr. 3",506-023a,Seminar,Maximilian Jablonowski,German,Qualitative Analysis and Interpretation,Thursday,Morning,10,12
"Kulturtheorien lesen, verstehen, diskutieren",506-024a,Exercise Group,Peter Nikolaus Heinzer,German,Introduction to Cultural Theory,Tuesday,Afternoon,16,18
Everyday Cultures – Exemplary Topics,506-026a,Independent Study,"Mischa Elias Gallati Zimmermann, Philosophische Fakultät N.N.-Dozent",German,Everyday Cultures – Exemplary Topics,Monday,Afternoon,12,13
Popular Literature and Media - Exemplary Topics,506-036a,Independent Study,"Mischa Elias Gallati Zimmermann, Philosophische Fakultät N.N.-Dozent",German,Popular Literature and Media – Exemplary Topics,Monday,Afternoon,12,13
Oerlikon: Quartier-Initiativen zwischen Selbstermächtigung und städtischer Politik,506-046a,Field Trip,Mischa Elias Gallati Zimmermann,German,Ethnografic Explorations,Tuesday,Morning,10,12
Laptop-Sticker: eine Ausstellung,506-049a,Seminar,Eberhard Wolff,German,Exploring Everyday Cultures: Research- Based Learning,Wednesday,Afternoon,16,18
Einblicke in die universitäre Beruf_axis,506-063a,Practical Training,Brigitte Frizzoni,German,Traineeship,N/A,N/A,N/A,N/A
Vertiefte Einblicke in die universi_axis,506-066a,Practical Training,Brigitte Frizzoni,German,Traineeship,N/A,N/A,N/A,N/A
Einblicke in die ausseruniversitäre_axis,506-069a,Practical Training,Brigitte Frizzoni,German,Traineeship,N/A,N/A,N/A,N/A
Bachelorkolloquium,506-098a,Colloquium,Eberhard Wolff,German,Bachelor Colloquium,Friday,Morning,10,12
Writing a Research Proposal,506-539a,Independent Study,"Mischa Elias Gallati Zimmermann, Philosophische Fakultät N.N.-Dozent",German,Writing a Research Proposal,Thursday,Afternoon,13,13
"Alpine Geschmackskulturen: Landschaften, Akteur:innen, Praktiken",506-546a,Field Trip,"Bernhard Tschofen, Laila Idoia Gutknecht",German,Research on the Move,Wednesday,Afternoon,14,15
Aktuelle Fachdebatten,506-550a,Colloquium,Tobias Scheidegger,German,Current Debates in Cultural Studies,Wednesday,Afternoon,12,13
Knowledge Transfer,506-559a,Independent Study,"Mischa Elias Gallati Zimmermann, Philosophische Fakultät N.N.-Dozent",German,Knowledge Transfer,Thursday,Afternoon,12,13
Universitäre Berufspraxis,506-563a,Practical Training,Brigitte Frizzoni,German,Traineeship,N/A,N/A,N/A,N/A
Vertiefung universitäre Berufspraxis,506-566a,Practical Training,Brigitte Frizzoni,German,Traineeship,N/A,N/A,N/A,N/A
Ausseruniversitäre Berufspraxis,506-569a,Practical Training,Brigitte Frizzoni,German,Traineeship,N/A,N/A,N/A,N/A
Colloquium,506-598a,Colloquium,Moritz Peter Ege,German,Master Colloquium,Wednesday,Afternoon,16,18
Ethnografien sozialer Ungleichheit,506i100a,Seminar,Moritz Peter Ege,German,Ethnographies of Social Inequality,Tuesday,Afternoon,12,13
Feministische Perspektiven in der Alltagskulturforschung,506i101a,Seminar,Laura Bäumel,German,Feminist Perspectives in Cultural Studies,Wednesday,Afternoon,14,15
Let's talk about... - exhibiting! Ausstellungen analysieren und besprechen,506i102a,Seminar,Bernhard Tschofen,German,Let's Talk about... - Exhibiting! Analysing and Discussing Exhibitions,Tuesday,Afternoon,14,15
Prehistoric Fiction,506i104a,Seminar,Meret Fehlmann,German,Prehistoric Fiction,Monday,Morning,10,12
"Basic German 4; A2: Listening, vocabulary, and arguing",_D_2Lis,Language Course,Lea Daniela Gass,German,"Basic German 4; A2: Listening, vocabulary, and arguing",Thursday,Afternoon,16,17
Umweltexkursion: Gewässerrevitalisierung,UWW114,Seminar,Fredy Elber,German,UWW 114 River and Lakeshore Restoration,Monday,Morning,9,12
(Bio-)Diversity in Fairy Tales,506i105a,Seminar,Christine Suzanne Lötscher,German,(Bio-)Diversity in Fairy Tales,Monday,Afternoon,16,18
Kulturgeschichte des Alltags. Lebenswelten und Lebensweisen des Populären,506i403a,Course,Bernhard Tschofen,German,Cultural History of Everyday Life. Lifeworlds and Lifestyles in Popular Culture,Thursday,Morning,10,12
